slug,name_en,name_ja,note_en,verified
dexamethasone-acetate,Dexamethasone acetate,デキサメタゾン酢酸エステル,A topical steroid. Stronger than the hydrocortisone sold over the counter in Australia.,true
diclofenac,Diclofenac sodium,ジクロフェナクナトリウム,The same ingredient as in Voltaren.,true
dihydrocodeine,Dihydrocodeine phosphate,ジヒドロコデインリン酸塩,A codeine-type medicine. Codeine products are prescription-only in Australia.,true
diphenhydramine,Diphenhydramine,ジフェンヒドラミン,An antihistamine. Applied to the skin in this product.,true
diphenhydramine-hydrochloride,Diphenhydramine hydrochloride,ジフェンヒドラミン塩酸塩,null,true
diphenhydramine-salicylate,Diphenhydramine salicylate,ジフェンヒドラミンサリチル酸塩,null,true
diprophylline,Diprophylline,ジプロフィリン,Acts on the balance centre of the inner ear.,true
dl-camphor,dl-Camphor,dl-カンフル,Produces a cooling sensation.,true
enterococcus-faecalis,Enterococcus faecalis,フェーカリス菌,A live bacterium that supports gut balance.,true
epinastine,Epinastine,エピナスチン塩酸塩,A second-generation antihistamine.,true
ethyl-aminobenzoate,Ethyl aminobenzoate,アミノ安息香酸エチル,Settles the stomach.,true
famotidine,Famotidine,ファモチジン,The same ingredient as in Pepcid.,true
fennel,Fennel,ウイキョウ,A plant extract.,true
fexofenadine,Fexofenadine,フェキソフェナジン塩酸塩,The same ingredient as in Telfast.,true
gambir,Gambir,アセンヤク末,A plant extract.,true
gentian,Gentian,ゲンチアナ,A plant extract.,true
ginseng,Ginseng,ニンジン末,A plant extract.,true
glycyrrhetinic-acid,Glycyrrhetinic acid,グリチルレチン酸,Reduces inflammation.,true
guaifenesin,Guaifenesin,グアイフェネシン,Loosens mucus.,true
ibuprofen,Ibuprofen,イブプロフェン,The same ingredient as in Nurofen.,true
isopropylmethylphenol,Isopropylmethylphenol,イソプロピルメチルフェノール,An antiseptic.,true
l-menthol,l-Menthol,l-メントール,Produces a cooling sensation.,true
lactobacillus-acidophilus,Lactobacillus acidophilus,アシドフィルス菌,A live bacterium that supports gut balance.,true
licorice,Licorice root,カンゾウ末,A plant extract.,true
licorice-extract,Licorice extract,カンゾウ乾燥エキス,A plant extract that reduces inflammation.,true
lidocaine,Lidocaine,リドカイン,A local anaesthetic.,true
loratadine,Loratadine,ロラタジン,The same ingredient as in Claratyne.,true
loxoprofen,Loxoprofen,ロキソプロフェンナトリウム水和物,An anti-inflammatory painkiller (NSAID). Not sold over the counter in Australia.,true
methyl-salicylate,Methyl salicylate,サリチル酸メチル,A topical pain reliever.,true
methylephedrine,dl-Methylephedrine hydrochloride,dl-メチルエフェドリン塩酸塩,A decongestant. Banned in competition under WADA rules.,true
neostigmine,Neostigmine methylsulfate,メチル硫酸ネオスチグミン,Helps the focusing muscle of the eye.,true
nutmeg,Nutmeg,ニクズク,A plant extract.,true
paracetamol,Paracetamol,アセトアミノフェン,The same ingredient as in Panadol. Japanese boxes write it as acetaminophen.,true
phellodendron-bark,Phellodendron bark,オウバク末,A plant extract.,true
pheniramine,Pheniramine maleate,マレイン酸フェニラミン,An antihistamine. Can cause drowsiness.,true
picrasma,Picrasma wood,ニガキ末,A plant extract.,true
platycodon,Platycodon root,キキョウ末,A plant extract.,true
potassium-aspartate,Potassium L-aspartate,L-アスパラギン酸カリウム,null,true
potassium-chloride,Potassium chloride,塩化カリウム,A mineral that matches the eye fluid.,true
pseudoephedrine,Pseudoephedrine hydrochloride,塩酸プソイドエフェドリン,"A decongestant. Pharmacist Only (S3) in Australia, where photo ID is required.",true
pyridoxine,Pyridoxine,ピリドキシン塩酸塩,Vitamin B6.,true
retinol-palmitate,Retinol palmitate,レチノールパルミチン酸エステル,Vitamin A.,true
riboflavin,Riboflavin,リボフラビン,Vitamin B2. May turn your urine bright yellow.,true
salicylic-acid,Salicylic acid,サリチル酸,Softens skin.,true
scopolamine,Scopolamine hydrobromide,スコポラミン臭化水素酸塩水和物,Reduces motion sickness. Sold as hyoscine in Australia.,true
scopolia-extract,Scopolia extract,ロートエキス,Reduces cramping in the bowel.,true
senega,Senega root,セネガ末,A plant extract.,true
shakuyakukanzoto,Shakuyakukanzoto,芍薬甘草湯エキス末,A traditional Japanese (Kampo) herbal formula.,true
sodium-ascorbate,Sodium ascorbate,L-アスコルビン酸ナトリウム,Vitamin C.,true
sodium-bicarbonate,Sodium bicarbonate,炭酸水素ナトリウム,An antacid.,true
sodium-chloride,Sodium chloride,塩化ナトリウム,A mineral that matches the eye fluid.,true
synthetic-hydrotalcite,Synthetic hydrotalcite,合成ヒドロタルサイト,An antacid added to protect the stomach.,true
taurine,Taurine,アミノエチルスルホン酸（タウリン）,null,true
tetrahydrozoline,Tetrahydrozoline hydrochloride,テトラヒドロゾリン塩酸塩,Reduces redness in the eye.,true
thiamine-nitrate,Thiamine nitrate,チアミン硝化物,null,true
tocopherol-acetate,Tocopherol acetate,トコフェロール酢酸エステル,Vitamin E.,true
tranexamic-acid,Tranexamic acid,トラネキサム酸,Reduces inflammation in the throat.,true
wood-creosote,Wood creosote,木クレオソート,A plant-derived ingredient used for diarrhoea. Not the same as industrial creosote.,true
